board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk_start_ms,ppk_end_ms,ppk_duration_ms,ppk_n_samples,ppk_current_mean_uA,ppk_current_p95_uA,ppk_current_max_uA,ppk_charge_uC,ppk_energy_uJ
NUCLEO-F446RE,STM32F446RE,84,7086,dilithium2,verify_ok,2420,0,3183706,37901,4058.66873,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,7846.95,7884.05,37.1,3711,33150.93302,36680.625,43770.09,1229.899615,4058.66873
NUCLEO-F446RE,STM32F446RE,84,7160,dilithium2,keygen,0,1312,3043892,36236,13137.88565,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,7896.76,8025.88,129.12,12913,30833.15885,35947.773,44965,3981.177471,13137.88565
NUCLEO-F446RE,STM32F446RE,84,7226,dilithium2,sign,14,2420,4496702,53532,4084.901341,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,8038.69,8076.66,37.97,3798,32600.70822,36575.773,44856.109,1237.848891,4084.901341
NUCLEO-F446RE,STM32F446RE,84,7277,dilithium2,verify_ok,2420,0,3249841,38688,4001.522911,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,8114.55,8151.1,36.55,3656,33175.99727,36733.066,43553.512,1212.5827,4001.522911
NUCLEO-F446RE,STM32F446RE,84,7352,dilithium2,keygen,0,1312,3065500,36494,5702.663744,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,8163.81,8218.87,55.06,5507,31385.39634,36000.035,44965,1728.079922,5702.663744
NUCLEO-F446RE,STM32F446RE,84,7439,dilithium2,sign,14,2420,6225138,74108,4087.877758,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,8231.5,8269.46,37.96,3797,32633.05679,36733.066,43986.875,1238.750836,4087.877758
NUCLEO-F446RE,STM32F446RE,84,7490,dilithium2,verify_ok,2420,0,3183969,37904,3932.288917,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,8306.91,8343.2,36.29,3630,32835.56633,36575.773,44366.754,1191.602702,3932.288917
NUCLEO-F446RE,STM32F446RE,84,7565,dilithium2,keygen,0,1312,3208027,38190,5528.547103,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,8355.91,8409.52,53.61,5362,31250.08961,35895.523,44638.488,1675.317304,5528.547103
NUCLEO-F446RE,STM32F446RE,84,7652,dilithium2,sign,14,2420,6223897,74094,4175.552462,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,8422.15,8460.9,38.75,3876,32653.39169,36575.773,44910.547,1265.318928,4175.552462
NUCLEO-F446RE,STM32F446RE,84,7702,dilithium2,verify_ok,2420,0,3183710,37901,3956.919422,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,8499.26,8535.81,36.55,3656,32806.19676,36733.066,44041.105,1199.066492,3956.919422
NUCLEO-F446RE,STM32F446RE,84,7776,dilithium2,keygen,0,1312,3065313,36491,7604.947264,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,8548.53,8622.77,74.24,7425,31041.61468,36000.035,45182.934,2304.529474,7604.947264
NUCLEO-F446RE,STM32F446RE,84,7844,dilithium2,sign,14,2420,4617526,54970,4124.386282,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,518,8635.4,8673.37,37.97,3798,32915.82894,36680.625,44366.754,1249.814025,4124.386282
NUCLEO-F446RE,STM32F446RE,84,7894,dilithium2,verify_ok,2420,0,3183944,37904,4140.444448,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,518,8710.67,8748.92,38.25,3826,32802.09505,36733.066,43824.266,1254.680136,4140.444448
NUCLEO-F446RE,STM32F446RE,84,7968,dilithium2,keygen,0,1312,3087362,36754,7635.711597,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,518,8761.63,8835.88,74.25,7426,31162.98989,35843.289,45291.977,2313.851999,7635.711597
NUCLEO-F446RE,STM32F446RE,84,8035,dilithium2,sign,14,2420,4497158,53537,4133.981477,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,518,8848.51,8886.48,37.97,3798,32992.4061,36733.066,44258.152,1252.72166,4133.981477
NUCLEO-F446RE,STM32F446RE,84,8086,dilithium2,verify_ok,2420,0,3249762,38687,3983.331361,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,518,8924.11,8960.67,36.56,3657,33016.14085,36575.773,45019.461,1207.070109,3983.331361
NUCLEO-F446RE,STM32F446RE,84,8161,dilithium2,keygen,0,1312,3108996,37011,5690.253995,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,8973.38,9028.45,55.07,5508,31311.41079,35895.523,44475.41,1724.319392,5690.253995
NUCLEO-F446RE,STM32F446RE,84,8361,dilithium2,sign,14,2420,15764372,187671,4089.732729,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,9041.07,9079.04,37.97,3798,32639.26648,36523.371,44910.547,1239.312948,4089.732729
NUCLEO-F446RE,STM32F446RE,84,8412,dilithium2,verify_ok,2420,0,3184096,37905,4044.142314,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,9116.49,9153.31,36.82,3683,33283.47829,36785.527,43553.512,1225.497671,4044.142314
NUCLEO-F446RE,STM32F446RE,84,8485,dilithium2,keygen,0,1312,3044012,36238,5557.717857,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,9166.02,9219.66,53.64,5365,31397.40728,36000.035,44801.684,1684.156926,5557.717857
NUCLEO-F446RE,STM32F446RE,84,8551,dilithium2,sign,14,2420,4496649,53531,4209.417513,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,9232.29,9271.05,38.76,3877,32909.72819,36733.066,43932.66,1275.581065,4209.417513
NUCLEO-F446RE,STM32F446RE,84,8602,dilithium2,verify_ok,2420,0,3183980,37904,4055.594907,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,9308.88,9345.96,37.08,3709,33143.69346,36628.191,43715.926,1228.968154,4055.594907
NUCLEO-F446RE,STM32F446RE,84,8676,dilithium2,keygen,0,1312,3043738,36234,18967.65227,797,144,144,gcc-arm-none-eabi,O2,off,2220,2225,518,9358.66,9546.65,187.99,18800,30574.88918,35895.523,45291.977,5747.773416,18967.65227
NUCLEO-F446RE,STM32F446RE,84,8763,dilithium2,sign,14,2420,6225140,74108,4044.269589,797,144,144,gcc-arm-none-eabi,O2,off,2220,2225,518,9559.44,9597.41,37.97,3798,32276.43505,36523.371,45019.461,1225.536239,4044.269589
NUCLEO-F446RE,STM32F446RE,84,8813,dilithium2,verify_ok,2420,0,3184073,37905,3936.957867,797,144,144,gcc-arm-none-eabi,O2,off,2220,2225,518,9634.45,9670.75,36.3,3631,32865.49685,36785.527,44149.602,1193.017536,3936.957867
NUCLEO-F446RE,STM32F446RE,84,8887,dilithium2,keygen,0,1312,3043845,36236,5499.323577,797,144,144,gcc-arm-none-eabi,O2,off,2220,2225,518,9683.46,9737.07,53.61,5362,31084.90375,35947.773,45128.43,1666.46169,5499.323577
NUCLEO-F446RE,STM32F446RE,84,9013,dilithium2,sign,14,2420,9496892,113058,4144.588711,797,144,144,gcc-arm-none-eabi,O2,off,2220,2225,518,9749.7,9787.66,37.96,3797,33085.77379,36733.066,43770.09,1255.935973,4144.588711
NUCLEO-F446RE,STM32F446RE,84,9063,dilithium2,verify_ok,2420,0,3183887,37903,3978.342707,797,144,144,gcc-arm-none-eabi,O2,off,2220,2225,518,9825.77,9862.05,36.28,3629,33229.28324,36628.191,44910.547,1205.558396,3978.342707
