board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,lib_commit,fw_git,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk2_start_ms,ppk2_end_ms,ppk2_duration_ms,ppk2_samples,ppk2_current_mean_uA,ppk2_current_p95_uA,ppk2_current_max_uA,ppk2_charge_uC,ppk2_energy_uJ
NUCLEO-F446RE,STM32F446RE,84,7562,dilithium2,verify_ok,2420,0,3184136,37906,3912.520203899999,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2221,412,15563.0,15600.0,37.0,38.0,32081.043868421042,34438.2846,34684.391,1185.612183,3912.520203899999
NUCLEO-F446RE,STM32F446RE,84,7673,dilithium2,keygen,0,1312,3108995,37011,3332.6424813,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2222,412,15674.0,15711.0,37.0,38.0,27325.49215789474,34559.6541,34942.348,1009.891661,3332.6424813
NUCLEO-F446RE,STM32F446RE,84,7813,dilithium2,sign,14,2420,10702515,127410,12921.4374531,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2222,412,15814.0,15941.0,127.0,128.0,30840.49709375,34680.64095,35023.496,3915.587107,12921.4374531
NUCLEO-F446RE,STM32F446RE,84,7866,dilithium2,verify_ok,2420,0,3303842,39331,4105.367405699999,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2218,412,15867.0,15906.0,39.0,40.0,31919.371849999996,34390.142550000004,34666.07,1244.050729,4105.367405699999
NUCLEO-F446RE,STM32F446RE,84,7975,dilithium2,keygen,0,1312,3065713,36496,3445.9840701,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2218,412,15976.0,16012.0,36.0,37.0,29064.632702702707,33913.2594,33934.953,1044.237597,3445.9840701
NUCLEO-F446RE,STM32F446RE,84,8042,dilithium2,sign,14,2420,4496671,53531,4587.4008245999985,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2218,412,16043.0,16096.0,53.0,54.0,26384.103888888887,34535.923449999995,34620.148,1390.121462,4587.4008245999985
NUCLEO-F446RE,STM32F446RE,84,8093,dilithium2,verify_ok,2420,0,3184141,37906,3043.9358730000004,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2218,412,16094.0,16131.0,37.0,38.0,24927.038236842105,25066.87395,25093.418,922.40481,3043.9358730000004
NUCLEO-F446RE,STM32F446RE,84,8202,dilithium2,keygen,0,1312,3043778,36235,3651.2237882999993,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,16203.0,16239.0,36.0,37.0,30840.34643243243,34323.509999999995,34661.367,1106.431451,3651.2237882999993
NUCLEO-F446RE,STM32F446RE,84,8269,dilithium2,sign,14,2420,4496795,53533,5381.148207599999,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,16270.0,16323.0,53.0,54.0,30785.010148148154,34047.465500000006,34253.699,1630.6509720000001,5381.148207599999
NUCLEO-F446RE,STM32F446RE,84,8319,dilithium2,verify_ok,2420,0,3183982,37904,3687.5828847,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,16320.0,16357.0,37.0,38.0,30207.16152631579,34037.6857,34189.777,1117.449359,3687.5828847
NUCLEO-F446RE,STM32F446RE,84,8429,dilithium2,keygen,0,1312,3120693,37151,2899.8815307000004,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,16430.0,16467.0,37.0,38.0,23722.120499999997,24921.543599999997,24951.645,878.7519789999999,2899.8815307000004
NUCLEO-F446RE,STM32F446RE,84,8516,dilithium2,sign,14,2420,6225018,74107,7341.5981958,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,16517.0,16591.0,74.0,75.0,30121.77984,34491.243,34927.355,2224.7267260000003,7341.5981958
NUCLEO-F446RE,STM32F446RE,84,8567,dilithium2,verify_ok,2420,0,3184219,37907,3603.0414387,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,16568.0,16605.0,37.0,38.0,29628.1452631579,34079.583000000006,34247.922,1091.8307390000002,3603.0414387
NUCLEO-F446RE,STM32F446RE,84,8678,dilithium2,keygen,0,1312,3207791,38187,3122.1987257999995,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,16679.0,16717.0,38.0,39.0,24879.3831025641,25042.6105,25062.332,946.1208260000001,3122.1987257999995
NUCLEO-F446RE,STM32F446RE,84,8765,dilithium2,sign,14,2420,6223524,74089,7276.4072964,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,16766.0,16840.0,74.0,75.0,29843.471426666663,34285.8567,34477.375,2204.971908,7276.4072964
NUCLEO-F446RE,STM32F446RE,84,8816,dilithium2,verify_ok,2420,0,3183713,37901,3752.6540600999997,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,16817.0,16854.0,37.0,38.0,30688.687315789473,34136.75665,34199.406,1137.167897,3752.6540600999997
NUCLEO-F446RE,STM32F446RE,84,8926,dilithium2,keygen,0,1312,3131116,37275,3842.0769914999996,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,16927.0,16964.0,37.0,38.0,31548.732552631573,34860.14465,34885.172,1164.2657550000001,3842.0769914999996
NUCLEO-F446RE,STM32F446RE,84,8993,dilithium2,sign,14,2420,4497016,53535,4774.6471674,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,16994.0,17047.0,53.0,54.0,27252.644796296307,34569.5152,34786.551,1446.862778,4774.6471674
NUCLEO-F446RE,STM32F446RE,84,9044,dilithium2,verify_ok,2420,0,3184105,37906,3541.1524566000003,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,17045.0,17082.0,37.0,38.0,29138.507763157893,34676.1169,34968.121,1073.0765020000001,3541.1524566000003
NUCLEO-F446RE,STM32F446RE,84,9153,dilithium2,keygen,0,1312,3087711,36758,3817.1445774,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,17154.0,17190.0,36.0,37.0,32216.592621621618,34972.2978,35303.449,1156.710478,3817.1445774
NUCLEO-F446RE,STM32F446RE,84,9221,dilithium2,sign,14,2420,4617096,54965,4891.400187299998,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2221,412,17222.0,17276.0,54.0,55.0,27403.468763636356,34571.4126,34787.41,1482.242481,4891.400187299998
