dataset,run_index,board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,lib_commit,fw_git,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk2_start_ms,ppk2_end_ms,ppk2_duration_ms,ppk2_samples,ppk2_current_mean_uA,ppk2_current_p95_uA,ppk2_current_max_uA,ppk2_charge_uC,ppk2_energy_uJ
dataset2,17,NUCLEO-F446RE,STM32F446RE,84,2637873,sphincs_sha2_128s,keygen,0,32,1163537365,13851635,1416333.7454673,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2349,2357,433,2028765.0,2042616.0,13851.0,13852.0,30986.36512518048,31442.89635,31770.912,429192.044081,1416333.7454673
dataset2,17,NUCLEO-F446RE,STM32F446RE,84,2743131,sphincs_sha2_128s,sign,12,7856,250199729,2978568,305875.25197349995,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2346,2354,433,2134023.0,2137001.0,2978.0,2979.0,31124.577614300106,31511.2715,31751.883,92689.470295,305875.25197349995
dataset2,17,NUCLEO-F446RE,STM32F446RE,84,2743248,sphincs_sha2_128s,verify,7856,0,8270726,98461,10121.7979401,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2346,2356,432,2134140.0,2134238.0,98.0,99.0,31292.803101010108,31535.0354,31728.867,3067.211497,10121.7979401
dataset2,18,NUCLEO-F446RE,STM32F446RE,84,2757179,sphincs_sha2_128s,keygen,0,32,1163644781,13852914,1417811.9721678,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2346,2356,433,2148071.0,2161923.0,13852.0,13853.0,31016.47004988089,31464.3328,31754.688,429639.991566,1417811.9721678
dataset2,18,NUCLEO-F446RE,STM32F446RE,84,2862445,sphincs_sha2_128s,sign,12,7856,250850750,2986318,306897.0621816,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2346,2354,433,2253337.0,2256323.0,2986.0,2987.0,31145.13195011717,31498.8588,31800.873,92999.109752,306897.0621816
dataset2,18,NUCLEO-F446RE,STM32F446RE,84,2862571,sphincs_sha2_128s,verify,7856,0,8971328,106801,10934.053798799998,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2346,2354,433,2253463.0,2253569.0,106.0,107.0,31256.227429906536,31492.5431,31700.029,3313.349636,10934.053798799998
dataset2,19,NUCLEO-F446RE,STM32F446RE,84,2876502,sphincs_sha2_128s,keygen,0,32,1163670255,13853217,1418011.9136402998,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2346,2353,433,2267394.0,2281247.0,13853.0,13854.0,31018.60623061932,31470.03025,31776.262,429700.57989100006,1418011.9136402998
dataset2,19,NUCLEO-F446RE,STM32F446RE,84,2981759,sphincs_sha2_128s,sign,12,7856,250118002,2977595,305626.0625054999,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2342,2353,433,2372651.0,2375628.0,2977.0,2978.0,31109.9206051041,31482.7559,31743.482,92613.958335,305626.0625054999
dataset2,19,NUCLEO-F446RE,STM32F446RE,84,2981883,sphincs_sha2_128s,verify,7856,0,8855716,105425,10761.4756656,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2342,2353,433,2372775.0,2372880.0,105.0,106.0,31050.341754716985,31463.994,31528.707,3261.0532320000007,10761.4756656
dataset2,20,NUCLEO-F446RE,STM32F446RE,84,2995808,sphincs_sha2_128s,keygen,0,32,1163109040,13846536,1415760.8392059,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2342,2354,433,2386700.0,2400546.0,13846.0,13847.0,30985.032995233625,31441.3885,31753.582,429018.436123,1415760.8392059
dataset2,20,NUCLEO-F446RE,STM32F446RE,84,3101075,sphincs_sha2_128s,sign,12,7856,251009812,2988212,307029.4076586,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2342,2347,433,2491967.0,2494955.0,2988.0,2989.0,31137.730272331886,31491.6892,31744.371,93039.214442,307029.4076586
dataset2,20,NUCLEO-F446RE,STM32F446RE,84,3101195,sphincs_sha2_128s,verify,7856,0,8492206,101097,10391.0082639,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2342,2347,433,2492087.0,2492188.0,101.0,102.0,31176.33120588235,31505.7617,31685.879,3148.790383,10391.0082639
