dataset,run_index,board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,lib_commit,fw_git,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk2_start_ms,ppk2_end_ms,ppk2_duration_ms,ppk2_samples,ppk2_current_mean_uA,ppk2_current_p95_uA,ppk2_current_max_uA,ppk2_charge_uC,ppk2_energy_uJ
dataset2,16,NUCLEO-F446RE,STM32F446RE,84,81218,falcon512,verify,655,0,942354,11218,901.4820549897744,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2513,2491,591,58459.0,58470.2,11.19999999999709,113.0,24404.065336283184,25721.3344,25895.58,273.1763802999316,901.4820549897744
dataset2,17,NUCLEO-F446RE,STM32F446RE,84,86484,falcon512,keygen,0,897,436109355,5191778,475289.6396688005,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2510,2491,591,63725.0,68916.7,5191.699999999997,51918.0,27741.914824453943,33803.41925,39088.109,144027.16353600015,475289.6396688005
dataset2,17,NUCLEO-F446RE,STM32F446RE,84,87253,falcon512,sign,11,657,63308360,753670,73105.59370884001,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2510,2494,591,64494.0,65247.6,753.5999999999985,7537.0,29397.09435730397,34141.165400000005,35192.395,22153.2102148,73105.59370884001
dataset2,17,NUCLEO-F446RE,STM32F446RE,84,87278,falcon512,verify,657,0,876923,10439,1103.5698831301893,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2510,2494,591,64519.0,64529.4,10.400000000001455,105.0,32120.80964761904,34135.2646,34342.5,334.41511610005733,1103.5698831301893
dataset2,18,NUCLEO-F446RE,STM32F446RE,84,89810,falcon512,keygen,0,897,206412365,2457290,219672.24660282105,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2510,2493,591,67051.0,69508.2,2457.199999999997,24573.0,27090.71593985268,32341.1192,39088.109,66567.34745540032,219672.24660282105
dataset2,18,NUCLEO-F446RE,STM32F446RE,84,90581,falcon512,sign,11,656,63477485,755684,67521.29284890015,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2510,2494,591,67822.0,68577.6,755.6000000000058,7557.0,27078.93694481937,33755.8086,38431.035,20460.997833000045,67521.29284890015
dataset2,18,NUCLEO-F446RE,STM32F446RE,84,90606,falcon512,verify,656,0,877032,10440,818.2513729495325,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2510,2494,591,67847.0,67857.4,10.39999999999418,105.0,23826.204219047613,26104.2864,26982.785,247.9549614998584,818.2513729495325
dataset2,19,NUCLEO-F446RE,STM32F446RE,84,94167,falcon512,keygen,0,897,292858107,3486406,320211.1843451382,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2508,2496,590,71408.0,74894.4,3486.399999999994,34865.0,27832.023245202927,33804.392799999994,38712.586,97033.69222579944,320211.1843451382
dataset2,19,NUCLEO-F446RE,STM32F446RE,84,94936,falcon512,sign,11,653,63340628,754055,65162.239404567554,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2508,2493,590,72177.0,72931.0,754.0,7541.0,26189.34415793661,30850.348,38712.586,19746.13315289926,65162.239404567554
dataset2,19,NUCLEO-F446RE,STM32F446RE,84,94962,falcon512,verify,653,0,876627,10436,899.0779472394684,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2508,2493,590,72203.0,72213.4,10.39999999999418,105.0,26206.86572380953,27330.3274,27598.871,272.4478627998389,899.0779472394684
